,activity_gen_cat,activity_spec,emotion,company,company_2,weather
1,work,emails,anxious_not_ok,alone,none,ok
2,work,emails,ok,alone,none,ok
3,work,emails,relaxed,alone,none,ok
4,work,emails,productive_motivated,alone,none,ok
5,work,emails,productive_motivated,alone,none,ok
6,work,emails,productive_motivated,alone,none,ok
7,work,emails,excited,alone,none,ok
8,work,emails,excited,alone,none,ok
9,work,emails,unproductive,alone,none,ok
10,work,emails,productive_motivated,alone,none,ok
11,work,projects,stressed,alone,none,ok
12,work,projects,stressed,alone,none,ok
13,work,projects,stressed,alone,none,ok
14,work,projects,anxious_not_ok,cowork,none,not_ok
15,work,projects,anxious_not_ok,cowork,none,not_ok
16,work,projects,confused,cowork,none,ok
17,work,projects,confused,cowork,none,ok
18,work,projects,confused,cowork,bf,ok
19,work,projects,confused,cowork,bf,ok
20,work,projects,confused,cowork,none,ok
21,work,projects,confused,cowork,bf,ok
22,work,projects,ok,bf,none,ok
23,work,projects,ok,alone,none,ok
24,work,projects,relaxed,alone,none,ok
25,work,projects,productive_motivated,alone,none,ok
26,work,projects,ok,alone,none,ok
27,work,projects,relaxed,alone,none,not_ok
28,work,projects,productive_motivated,alone,none,not_ok
29,work,projects,productive_motivated,alone,none,not_ok
30,work,projects,ok,alone,none,not_ok
31,work,projects,productive_motivated,alone,none,not_ok
32,work,projects,productive_motivated,cowork,bf,not_ok
33,work,projects,productive_motivated,bf,none,ok
34,work,projects,productive_motivated,alone,none,ok
35,work,projects,relaxed,alone,none,ok
36,work,projects,productive_motivated,alone,none,ok
37,work,projects,productive_motivated,alone,none,ok
38,work,projects,productive_motivated,alone,none,ok
39,work,projects,excited,bf,none,ok
40,work,projects,excited,alone,none,ok
41,work,projects,unproductive,cowork,none,ok
42,work,projects,productive_motivated,alone,none,ok
43,work,projects,productive_motivated,alone,none,ok
44,work,projects,relaxed,alone,none,ok
45,work,projects,productive_motivated,alone,none,ok
46,work,projects,excited,alone,none,ok
47,work,projects,excited,alone,none,ok
48,work,projects,unproductive,cowork,none,ok
49,work,projects,productive_motivated,alone,none,ok
50,work,projects,productive_motivated,alone,none,ok
51,work,projects,excited,alone,none,ok
52,work,projects,excited,alone,none,ok
53,work,projects,productive_motivated,alone,none,ok
54,work,talking,stressed,bf,none,ok
55,work,talking,anxious_not_ok,bf,none,not_ok
56,work,talking,stressed,bf,none,not_ok
57,work,talking,stressed,bf,none,not_ok
58,work,talking,stressed,bf,none,ok
59,work,talking,confused,bf,none,ok
60,work,talking,confused,bf,none,ok
61,work,talking,stressed,bf,none,ok
62,work,talking,stressed,bf,none,ok
63,work,dear_data,anxious_not_ok,alone,none,ok
64,work,dear_data,ok,alone,none,ok
65,work,dear_data,ok,alone,none,ok
66,work,dear_data,productive_motivated,alone,none,ok
67,work,dear_data,excited,alone,none,ok
68,work,dear_data,excited,alone,none,ok
69,work,dear_data,productive_motivated,alone,none,ok
70,work,dear_data,productive_motivated,alone,none,ok
71,work,dear_data,excited,alone,none,ok
72,work,dear_data,excited,alone,none,ok
73,work,dear_data,unproductive,alone,none,ok
74,work,meetings,anxious_not_ok,cowork,none,ok
75,work,meetings,anxious_not_ok,cowork,none,ok
76,work,meetings,anxious_not_ok,cowork,none,ok
77,work,meetings,anxious_not_ok,cowork,none,not_ok
78,work,meetings,anxious_not_ok,cowork,none,not_ok
79,work,meetings,anxious_not_ok,cowork,bf,not_ok
80,work,meetings,anxious_not_ok,cowork,bf,not_ok
81,work,meetings,anxious_not_ok,cowork,bf,ok
82,work,meetings,ok,cowork,bf,ok
83,work,meetings,relaxed,cowork,none,ok
84,work,meetings,productive_motivated,cowork,none,ok
85,work,meetings,productive_motivated,cowork,none,ok
86,work,meetings,excited,cowork,none,ok
87,work,meetings,relaxed,cowork,none,ok
88,work,meetings,productive_motivated,cowork,none,ok
89,work,meetings,productive_motivated,cowork,none,ok
90,work,meetings,productive_motivated,cowork,none,ok
91,work,meetings,productive_motivated,cowork,none,ok
92,work,meetings,excited,cowork,none,ok
93,work,meetings,productive_motivated,cowork,none,ok
94,work,meetings,unproductive,cowork,none,ok
95,life,morning_prep,anxious_not_ok,alone,none,not_ok
96,life,morning_prep,blurry_clouded_ok,alone,none,ok
97,life,morning_prep,ok,alone,none,ok
98,life,morning_prep,relaxed,alone,none,ok
99,life,morning_prep,excited,alone,none,ok
100,life,morning_prep,nostalgic,alone,none,ok
101,life,morning_prep,ok,alone,none,ok
102,life,lunch_dinner,confused,bf,none,ok
103,life,lunch_dinner,blurry_clouded_ok,bf,none,ok
104,life,lunch_dinner,blurry_clouded_ok,bf,none,ok
105,life,lunch_dinner,blurry_clouded_ok,bf,friend,ok
106,life,lunch_dinner,blurry_clouded_ok,bf,friend,ok
107,life,lunch_dinner,ok,bf,none,ok
108,life,lunch_dinner,ok,bf,none,ok
109,life,lunch_dinner,silly,bf,none,not_ok
110,life,lunch_dinner,blurry_clouded_ok,bf,none,not_ok
111,life,lunch_dinner,blurry_clouded_ok,bf,none,not_ok
112,life,lunch_dinner,relaxed,friend,none,ok
113,life,lunch_dinner,ok,friend,none,ok
114,life,lunch_dinner,relaxed,friend,none,ok
115,life,lunch_dinner,blurry_clouded_ok,bf,none,ok
116,life,lunch_dinner,blurry_clouded_ok,bf,friend,ok
117,life,lunch_dinner,silly,bf,friend,ok
118,life,lunch_dinner,relaxed,bf,none,ok
119,life,lunch_dinner,relaxed,bf,none,ok
120,life,lunch_dinner,excited,bf,none,ok
121,life,lunch_dinner,excited,bf,none,ok
122,life,lunch_dinner,blurry_clouded_ok,bf,none,ok
123,life,lunch_dinner,blurry_clouded_ok,bf,none,ok
124,life,lunch_dinner,silly,friend,none,ok
125,life,lunch_dinner,relaxed,bf,none,ok
126,life,lunch_dinner,relaxed,bf,friend,ok
127,life,lunch_dinner,excited,bf,none,not_ok
128,life,lunch_dinner,excited,bf,none,not_ok
129,life,lunch_dinner,unproductive,bf,none,not_ok
130,life,lunch_dinner,relaxed,friend,none,ok
131,life,lunch_dinner,nostalgic,bf,none,ok
132,life,shopping,confused,bf,none,ok
133,life,shopping,silly,friend,none,ok
134,life,shopping,ok,bf,none,ok
135,life,shopping,productive_motivated,alone,none,ok
136,life,shopping,productive_motivated,friend,none,not_ok
137,life,shopping,productive_motivated,friend,none,not_ok
138,life,shopping,relaxed,friend,none,ok
139,life,shopping,relaxed,friend,none,ok
140,life,planning,anxious_not_ok,bf,none,ok
141,life,planning,anxious_not_ok,bf,none,ok
142,life,planning,anxious_not_ok,bf,none,ok
143,life,planning,anxious_not_ok,bf,none,not_ok
144,life,planning,confused,bf,none,not_ok
145,life,planning,blurry_clouded_ok,bf,none,not_ok
146,life,planning,stressed,friend,none,ok
147,life,planning,stressed,bf,none,ok
148,life,planning,confused,alone,none,ok
149,life,planning,stressed,bf,none,ok
150,life,planning,stressed,bf,none,ok
151,life,planning,confused,alone,none,ok
152,life,planning,confused,bf,none,not_ok
153,life,planning,confused,bf,none,not_ok
154,life,planning,confused,bf,none,ok
155,life,spa,ok,alone,none,ok
156,life,spa,silly,alone,none,ok
157,life,spa,relaxed,alone,none,ok
158,life,spa,relaxed,alone,none,ok
159,life,spa,relaxed,alone,none,ok
160,life,spa,relaxed,alone,none,ok
161,life,events,ok,bf,friend,ok
162,life,events,silly,bf,friend,ok
163,life,events,relaxed,bf,friend,ok
164,life,events,relaxed,bf,none,ok
165,life,events,excited,bf,none,ok
166,life,events,productive_motivated,bf,none,ok
167,life,events,relaxed,bf,none,ok
168,life,events,productive_motivated,bf,none,not_ok
169,life,events,relaxed,friend,bf,not_ok
170,life,events,excited,bf,friend,not_ok
171,life,events,productive_motivated,alone,none,ok
172,life,events,productive_motivated,alone,none,ok
173,life,couch_evening,confused,bf,none,ok
174,life,couch_evening,blurry_clouded_ok,bf,none,ok
175,life,couch_evening,ok,bf,none,ok
176,life,couch_evening,relaxed,bf,none,ok
177,life,couch_evening,relaxed,bf,none,ok
178,life,couch_evening,blurry_clouded_ok,bf,none,ok
179,life,couch_evening,blurry_clouded_ok,bf,none,ok
180,life,couch_evening,relaxed,bf,none,ok
181,life,couch_evening,nostalgic,bf,none,ok
182,life,couch_evening,nostalgic,bf,none,ok
183,life,couch_evening,nostalgic,alone,none,ok
184,life,couch_evening,blurry_clouded_ok,bf,none,ok
185,life,couch_evening,ok,alone,none,ok
186,life,couch_evening,ok,alone,none,ok
187,life,couch_evening,relaxed,bf,none,not_ok
188,life,couch_evening,relaxed,bf,none,not_ok
189,life,couch_evening,nostalgic,bf,none,not_ok
190,life,couch_evening,nostalgic,bf,none,not_ok
191,life,couch_evening,relaxed,alone,none,ok
192,life,couch_evening,relaxed,bf,none,ok
193,life,couch_evening,nostalgic,bf,none,ok
194,life,couch_evening,nostalgic,bf,none,ok
195,other,waiting,blurry_clouded_ok,alone,none,ok
196,other,waiting,ok,alone,none,ok
197,other,waiting,relaxed,alone,none,ok
198,other,waiting,anxious_not_ok,alone,none,not_ok
199,other,waiting,anxious_not_ok,alone,none,not_ok
200,other,waiting,anxious_not_ok,alone,none,not_ok
201,other,waiting,stressed,bf,none,not_ok
202,other,waiting,stressed,bf,none,ok
203,other,waiting,anxious_not_ok,alone,none,ok
204,other,waiting,anxious_not_ok,alone,none,ok
205,other,waiting,anxious_not_ok,alone,none,ok
206,other,waiting,stressed,bf,none,ok
207,other,waiting,anxious_not_ok,alone,none,ok
208,other,waiting,anxious_not_ok,alone,none,ok
209,other,waiting,anxious_not_ok,alone,none,ok
210,other,waiting,stressed,alone,none,ok
211,other,waiting,anxious_not_ok,alone,none,ok
212,other,waiting,anxious_not_ok,alone,none,ok
213,other,walking,anxious_not_ok,bf,none,ok
214,other,walking,confused,bf,none,not_ok
215,other,walking,blurry_clouded_ok,alone,none,not_ok
216,other,walking,blurry_clouded_ok,alone,none,not_ok
217,other,walking,ok,bf,none,ok
218,other,walking,ok,alone,none,ok
219,other,walking,silly,alone,none,ok
220,other,walking,relaxed,friend,none,ok
221,other,walking,relaxed,alone,none,ok
222,other,walking,relaxed,alone,none,ok
223,other,walking,productive_motivated,alone,none,ok
224,other,walking,relaxed,friend,none,ok
225,other,walking,relaxed,friend,none,ok
226,other,walking,relaxed,bf,none,ok
227,other,walking,relaxed,alone,none,ok
228,other,walking,silly,alone,none,ok
229,other,walking,silly,alone,none,ok
230,other,walking,relaxed,alone,none,ok
231,other,walking,excited,alone,none,ok
232,other,walking,productive_motivated,alone,none,ok
233,other,walking,relaxed,alone,none,ok
234,other,walking,relaxed,alone,none,ok
235,other,walking,unproductive,bf,none,not_ok
236,other,walking,relaxed,alone,none,not_ok
237,other,walking,excited,alone,none,not_ok
238,other,walking,unproductive,alone,none,ok
239,other,walking,relaxed,alone,none,ok
240,other,walking,excited,alone,none,ok
241,other,walking,relaxed,alone,none,ok
242,other,walking,unproductive,alone,none,ok
243,other,walking,excited,alone,none,ok
244,other,walking,productive_motivated,alone,none,ok
245,other,walking,relaxed,alone,none,ok
246,other,walking,relaxed,alone,none,ok
247,other,walking,relaxed,alone,none,ok