char,closeness_isolation,passivity_agency,despair,time
anna,2,0.1,5,0
anna,2,0.1,5,0.0263
anna,1,0.1,4,0.0526
anna,0,0.1,4,0.0789
anna,-1,0.3,5.5,0.1052
anna,2,0.3,6,0.1315
anna,3,0.2,6.5,0.1578
anna,1.5,0.2,5.5,0.1841
anna,-1.5,0.3,4,0.2104
anna,-1,0.2,4.5,0.2367
anna,-1.5,0.2,3.5,0.263
anna,3.5,0.35,7,0.2893
anna,4,0.05,7.5,0.3156
anna,3,0.15,6,0.3419
anna,4,0.1,6.5,0.3682
anna,4.5,0.05,7,0.3945
anna,3,0.05,5,0.4208
anna,3.25,0.05,6,0.4471
anna,3.5,0.25,7,0.4734
anna,4,0.2,8,0.4997
anna,-2,0.45,3,0.526
anna,2,0.1,5,0.5523
anna,2.5,0.2,5.5,0.5786
anna,3,0.2,6,0.6049
anna,3.5,0.2,6.5,0.6312
anna,4,0.25,7,0.6575
anna,2,0.45,5,0.6838
anna,3,0.3,6,0.7101
anna,2.5,0.4,6.5,0.7364
anna,4,0.1,7.5,0.7627
anna,4.5,0.2,8,0.789
anna,4,0.2,7,0.8153
anna,3.5,0.15,7,0.8416
anna,4.25,0.3,7.5,0.8679
anna,4.75,0.45,8,0.8942
anna,5,0.05,8.5,0.9205
anna,5.5,0.3,9,0.9468
anna,6,0.15,9.5,0.9731
anna,6.5,0.4,10,1
werther,-3,0.2,4,0
werther,-3,0.2,4,0.1111
werther,-4,0.1,7,0.2222
werther,2,0.4,7,0.3333
werther,1,0.4,7,0.4444
werther,3,0.1,6,0.5555
werther,4,0.1,8,0.6666
werther,5,0.1,9,0.7777
werther,-3.5,0.3,7,0.8888
werther,6,0.2,10,1
hamlet,4,0.2,8,0
hamlet,4,0.2,8,0.0357
hamlet,4.5,0.2,8,0.0714
hamlet,5,0.1,8.5,0.1071
hamlet,3,0.25,7.5,0.1428
hamlet,-1,0.1,5,0.1785
hamlet,4,0.3,8.5,0.2142
hamlet,3.5,0.3,8.5,0.2499
hamlet,3,0.1,8,0.2856
hamlet,4.5,0.2,8.75,0.3213
hamlet,2.5,0.4,6.5,0.357
hamlet,3,0.4,8,0.3927
hamlet,2,0.3,7,0.4284
hamlet,-1,0.3,6,0.4641
hamlet,-2,0.3,5.5,0.4998
hamlet,-3,0.5,7,0.5355
hamlet,5,0.3,9,0.5712
hamlet,5.5,0.25,8,0.6069
hamlet,6,0.2,8,0.6426
hamlet,6,0.1,8,0.6783
hamlet,5.5,0.3,8,0.714
hamlet,6,0.4,8,0.7497
hamlet,4,0.1,7,0.7854
hamlet,3.5,0.2,7,0.8211
hamlet,5.5,0.2,9,0.8568
hamlet,1,0.3,7,0.8925
hamlet,3,0.45,7.5,0.9282
hamlet,2.5,0.1,7,0.9639
hamlet,-3.5,0.05,5,1
septimus,3,0.2,8,0
septimus,3,0.2,8,0.1428
septimus,2.5,0.1,7,0.2857
septimus,4,0.05,9,0.4286
septimus,3.5,0.15,6,0.5715
septimus,5,0.05,9,0.7144
septimus,6,0.5,10,0.8573
septimus,6,0.5,10,1
emma,-1,0.1,4,0
emma,-1,0.1,4,0.0555
emma,-1.5,0.1,4,0.1111
emma,-2,0.1,3.5,0.1667
emma,1,0.1,5.5,0.2223
emma,0.5,0.15,5,0.2779
emma,-2.25,0.05,3.5,0.3335
emma,1.5,0.05,6.5,0.3891
emma,-2.5,0.1,5.5,0.4447
emma,0,0.05,6.5,0.5003
emma,-3.5,0.4,3,0.5559
emma,3,0.05,8.5,0.6115
emma,2.5,0.1,8,0.6671
emma,-3.75,0.35,4,0.7227
emma,-1,0.2,5,0.7783
emma,1,0.1,7,0.8339
emma,2,0.1,8,0.8895
emma,3,0.05,9,0.9451
emma,4,0.05,10,1
edna,-1.5,0.1,5.5,0
edna,-1.5,0.1,5.5,0.0714
edna,-3,0.3,4,0.1428
edna,0.5,0.1,6.5,0.2142
edna,3,0.3,5,0.2856
edna,2.5,0.4,6,0.357
edna,4,0.3,4,0.4284
edna,-1,0.45,5,0.4998
edna,-0.5,0.4,6,0.5712
edna,-1,0.3,5,0.6426
edna,-2,0.4,4,0.714
edna,-1.5,0.1,6,0.7854
edna,4,0.05,9,0.8568
edna,5,0.5,8,0.9282
edna,5,0.5,8,1